Q,A,R,F,hash
vernehmen, 音や声を聞く ,1,0,10687381125073198488
ersehen, 選定する　じっくり見る ,1,0,7156331589027768233
überlassen, 任せる ,2,1,5311113871636533052
verringern, 減少させる ,4,2,354433566980564228
hindeuten, 暗示する　示唆する　指し示す ,2,1,3177410278343723861
appelieren, 訴える ,0,0,1258653196230196083
eingreifen, 介入する　侵害する ,6,4,3136261432799215940
verhießen, 約束する　予言する ,1,1,9530326801613106763
raten zu, 〜を勧める ,1,0,2700323965664676341
hinstellen, 置く　みなす ,1,1,10936880206324464547
sich erfreuen, 楽しむ ,1,0,4580756542707111728
erleiden, 苦しむ ,0,0,10587532302699579462
erstatten, 払い戻す ,1,0,15469484015172991247
sich anschließen, 仲間に加わる ,0,0,7478815211371684221
verfangen, 巻き込まれる ,2,2,871258985940842498
vertragen, 堪える　許容する ,1,0,14061817325012271982
vertrauen, 信頼する ,1,0,7489254896073482674
sich entscheiden, 決定する ,1,0,9597338267977971795
verweisen, 参照する　出ていくように命じる ,1,0,11552029478226418961
ahnden, 罰する ,0,0,9968030557370412147
ausstellen, 書類を発行する ,0,0,2861575885274049892
erschließen, 打ち明ける　推論する　開発する　開拓する ,2,1,91375277203816874
verhindern, 防ぐ ,1,0,13906458952800122222
einbeziehen, 含める　取り入れる ,15,12,8607442971502069633
unterbringen, 収容する　宿泊させる ,0,0,12230393717020448142
vorziehen, 好む　贔屓にする ,1,1,1190961794264499157
erwachen, 目覚める ,1,1,6069267148337084062
ansprechen, 話しかける　訴える ,0,0,13102787962836319097
besorgen, 手に入れる ,0,0,9895524511326550586
aufwerfen, 問題を提起する　議論にかける ,0,0,8599438429630191493
festlegen, 定める ,1,1,16340069810398495652
antun, 魅了する ,0,0,11730769586387788397
vertreten, 代表する　代理する ,1,0,15121137472002266952
bescheinigen, 文書で証明する ,0,0,13606825490225919037
versehen, 装備する　備える ,1,1,12228456410513397445
einbeziehen, 〜を含める ,13,9,2102816736136382019
mitbekommen, 気づく ,1,1,7935929815182542069
sich erkundigen nach, 〜について問い合わせる ,1,0,3076982561664140841
aufspalten, 分割する ,0,0,202457600712375949
entkommen, 逃れる　脱する ,1,1,987079130777229826
verfassen, 執筆する ,1,1,14933980091054986796
gedenken, 記念する　思い出す ,2,1,9742328227051980853
anziehen, 引きつける　引き寄せる ,0,0,16894514762572434014
gedeihen, 繁栄する　成<長する ,1,0,8100978537347810542
hetzen, 慌てて急いで行く ,0,0,2463113595422369597
verzeichen, 許す　容赦する ,1,1,18270701856000279188
sich begegnen, 一致する ,1,1,891549543384854292
